last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Buxton, Byron,621439,142,MIN,CF,25,35,3.98,30.5
Sierra, Magneuris,642423,146,MIA,CF,22,64,3.91,30.2
Quinn, Roman,596451,143,PHI,CF,25,56,3.88,30.2
Engel, Adam,641553,145,CWS,CF,27,181,4.08,30.1
Hamilton, Billy,571740,113,CIN,CF,28,203,3.94,30.1
Turner, Trea,607208,120,WSH,SS,25,259,4.10,30.1
Bader, Harrison,664056,138,STL,CF,24,152,4.07,30.0
Hampson, Garrett,641658,115,COL,SS,24,21,,30.0
DeShields, Delino,592261,140,TEX,CF,26,150,4.03,30.0
Brito, Socrates,593647,109,ARI,RF,26,11,,29.9
Mondesi, Adalberto,609275,118,KC,SS,23,96,4.07,29.9
Galloway, Isaac,543194,146,MIA,CF,29,22,4.14,29.9
Andreoli, John,607430,110,BAL,LF,28,25,4.14,29.8
Smith, Mallex,605480,139,TB,CF,25,255,4.03,29.8
Cordell, Ryan,641477,145,CWS,CF,26,9,,29.8
Broxton, Keon,542979,158,MIL,CF,28,34,4.18,29.7
Straw, Myles,664702,117,HOU,LF,24,7,,29.7
Gerber, Mike,595222,116,DET,LF,26,11,,29.6
Story, Trevor,596115,115,COL,SS,26,222,4.16,29.6
Acuna Jr., Ronald,660670,144,ATL,LF,21,175,4.10,29.6
O'Neill, Tyler,641933,138,STL,LF,23,32,4.11,29.5
Negron, Kristopher,502117,136,SEA,3B,32,14,,29.5
Shuck, JB,543776,146,MIA,RF,31,62,3.98,29.5
Adams, Lane,572669,144,ATL,LF,29,13,,29.5
Swanson, Dansby,621020,144,ATL,SS,24,199,4.09,29.4
Rosario, Amed,642708,121,NYM,SS,23,265,4.15,29.4
Margot, Manuel,622534,135,SD,CF,24,211,4.19,29.4
Kingery, Scott,664068,143,PHI,SS,24,160,4.10,29.4
Zimmer, Bradley,605548,114,CLE,CF,26,36,4.10,29.4
Fisher, Derek,605233,117,HOU,LF,25,24,4.18,29.4
Robles, Victor,645302,120,WSH,CF,21,19,,29.3
Hermosillo, Michael,641684,108,LAA,RF,23,31,4.23,29.3
Brinson, Lewis,621446,146,MIA,CF,24,160,4.21,29.3
Mullins, Cedric,656775,110,BAL,CF,24,82,4.05,29.3
Davis, Rajai,434658,114,CLE,CF,38,92,4.08,29.3
Reyes, Victor,622682,116,DET,LF,24,109,4.20,29.2
Berti, Jon,542932,141,TOR,2B,28,8,,29.2
Marisnick, Jake,545350,117,HOU,CF,27,70,4.24,29.2
Orlando, Paulo,449181,118,KC,CF,33,34,4.29,29.2
Trout, Mike,545361,108,LAA,CF,27,184,4.25,29.2
Cordero, Franchy,614173,135,SD,LF,24,46,4.18,29.2
Rivera, Yadiel,592680,146,MIA,3B,26,61,4.24,29.2
Hernandez, Cesar,514917,143,PHI,2B,28,247,4.13,29.1
Gardner, Brett,458731,147,NYY,LF,35,259,4.02,29.1
Goodrum, Niko,592348,116,DET,2B,26,186,4.20,29.1
Garcia, Adolis,666969,138,STL,RF,25,7,,29.1
Jones, JaCoby,592444,116,DET,CF,26,174,4.23,29.1
Fowler, Dustin,641583,133,OAK,CF,24,64,4.10,29.1
Bourjos, Peter,488721,144,ATL,CF,31,19,4.15,29.0
Gosselin, Phil,594838,113,CIN,3B,30,11,,29.0
Newman, Kevin,621028,134,PIT,SS,25,48,4.25,29.0
Merrifield, Whit,593160,118,KC,2B,29,249,4.23,29.0
Dyson, Jarrod,502481,109,ARI,CF,34,87,4.06,29.0
Laureano, Ramon,657656,133,OAK,CF,24,69,4.10,29.0
Wilkerson, Stevie,592859,110,BAL,2B,26,25,,29.0
Tilson, Charlie,605508,145,CWS,LF,26,69,4.13,29.0
Altherr, Aaron,571437,143,PHI,RF,27,98,4.39,29.0
Taylor, Michael A.,572191,120,WSH,CF,27,156,4.14,29.0
Jankowski, Travis,608671,135,SD,RF,27,175,4.12,29.0
Gordon, Dee,543829,136,SEA,2B,30,298,3.95,29.0
Phillips, Brett,621433,118,KC,CF,24,50,4.08,29.0
Young Jr., Eric,458913,108,LAA,CF,33,52,4.26,29.0
Dixon, Brandon,641525,113,CIN,1B,26,44,4.22,28.9
Garcia, Avisail,541645,145,CWS,RF,27,148,4.35,28.9
Kiermaier, Kevin,595281,139,TB,CF,28,159,4.07,28.9
Allen, Greg,656185,114,CLE,CF,25,127,4.14,28.9
Tauchman, Mike,643565,115,COL,LF,28,17,4.17,28.9
Spangenberg, Cory,605486,135,SD,2B,27,123,4.09,28.9
Gentry, Craig,502226,110,BAL,RF,35,80,4.22,28.9
Stevenson, Andrew,664057,120,WSH,LF,24,33,4.16,28.9
Duggar, Steven,621453,137,SF,CF,25,65,4.15,28.9
Baez, Javier,595879,112,CHC,2B,26,270,4.19,28.8
Bellinger, Cody,641355,119,LAD,1B,23,224,4.02,28.8
Peraza, Jose,606299,113,CIN,SS,24,277,4.19,28.8
Moncada, Yoan,660162,145,CWS,2B,23,201,4.20,28.8
Wade, Tyler,642180,147,NYY,2B,24,35,4.13,28.7
Davis, Jonathan,641505,141,TOR,CF,26,12,,28.7
