last_name,first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Semien, Marcus,543760,2019,747,556,0.285,0.275,0.01,0.522,0.495,0.027,0.373,0.362,0.011
Merrifield, Whit,593160,2019,735,559,0.302,0.288,0.014,0.463,0.435,0.028,0.34,0.325,0.015
Acuna Jr., Ronald,660670,2019,715,439,0.28,0.279,0.001,0.518,0.572,-0.054,0.369,0.386,-0.017
Villar, Jonathan,542340,2019,714,472,0.274,0.249,0.025,0.453,0.412,0.041,0.335,0.313,0.022
Betts, Mookie,605141,2019,706,505,0.295,0.311,-0.016,0.524,0.573,-0.049,0.38,0.408,-0.028
Hoskins, Rhys,656555,2019,705,403,0.226,0.221,0.005,0.454,0.426,0.028,0.347,0.342,0.005
Polanco, Jorge,593871,2019,704,524,0.295,0.279,0.016,0.485,0.469,0.016,0.352,0.344,0.008
Devers, Rafael,646240,2019,702,531,0.311,0.295,0.016,0.555,0.519,0.036,0.377,0.36,0.017
Albies, Ozzie,645277,2019,702,532,0.295,0.291,0.004,0.5,0.49,0.01,0.354,0.351,0.003
Escobar, Eduardo,500871,2019,699,516,0.269,0.258,0.011,0.511,0.468,0.043,0.341,0.327,0.014
Bogaerts, Xander,593428,2019,698,498,0.309,0.28,0.029,0.555,0.484,0.071,0.39,0.358,0.032
Alonso, Pete,624413,2019,693,417,0.26,0.257,0.003,0.583,0.542,0.041,0.384,0.374,0.01
Abreu, Jose,547989,2019,693,492,0.284,0.283,0.001,0.503,0.52,-0.017,0.344,0.359,-0.015
Freeman, Freddie,518692,2019,692,472,0.295,0.292,0.003,0.549,0.571,-0.022,0.387,0.394,-0.007
Bregman, Alex,608324,2019,690,479,0.296,0.272,0.024,0.592,0.471,0.121,0.418,0.378,0.04
Santana, Carlos,467793,2019,686,467,0.281,0.268,0.013,0.515,0.485,0.03,0.38,0.367,0.013
Harper, Bryce,547180,2019,682,399,0.26,0.279,-0.019,0.51,0.548,-0.038,0.366,0.387,-0.021
Goldschmidt, Paul,502671,2019,682,434,0.26,0.262,-0.002,0.476,0.513,-0.037,0.346,0.361,-0.015
Mancini, Trey,641820,2019,679,464,0.291,0.283,0.008,0.535,0.511,0.024,0.373,0.364,0.009
Soler, Jorge,624585,2019,679,415,0.265,0.277,-0.012,0.569,0.593,-0.024,0.378,0.392,-0.014
Castro, Starlin,516770,2019,676,534,0.27,0.268,0.002,0.436,0.432,0.004,0.307,0.31,-0.003
Chapman, Matt,656305,2019,670,439,0.249,0.255,-0.006,0.506,0.505,0.001,0.354,0.36,-0.006
Hosmer, Eric,543333,2019,667,461,0.265,0.259,0.006,0.425,0.418,0.007,0.309,0.308,0.001
Hernandez, Cesar,514917,2019,667,516,0.279,0.273,0.006,0.408,0.378,0.03,0.315,0.303,0.012
Castellanos, Nicholas,592206,2019,664,475,0.289,0.283,0.006,0.525,0.547,-0.022,0.358,0.364,-0.006
DeJong, Paul,657557,2019,664,440,0.233,0.237,-0.004,0.444,0.439,0.005,0.322,0.325,-0.003
Suarez, Eugenio,553993,2019,662,392,0.271,0.248,0.023,0.572,0.503,0.069,0.381,0.355,0.026
Arenado, Nolan,571448,2019,662,503,0.315,0.272,0.043,0.583,0.484,0.099,0.392,0.344,0.048
Machado, Manny,592518,2019,661,462,0.256,0.266,-0.01,0.462,0.466,-0.004,0.335,0.342,-0.007
Bellinger, Cody,641355,2019,661,455,0.304,0.323,-0.019,0.628,0.638,-0.01,0.414,0.429,-0.015
Choo, Shin-Soo,425783,2019,660,399,0.265,0.26,0.005,0.455,0.469,-0.014,0.353,0.356,-0.003
Donaldson, Josh,518626,2019,659,396,0.259,0.269,-0.01,0.521,0.536,-0.015,0.377,0.387,-0.01
Soto, Juan,665742,2019,659,416,0.282,0.285,-0.003,0.548,0.576,-0.028,0.394,0.407,-0.013
Martinez, J.D.,502110,2019,657,442,0.304,0.309,-0.005,0.557,0.579,-0.022,0.386,0.4,-0.014
Story, Trevor,596115,2019,656,417,0.294,0.264,0.03,0.554,0.463,0.091,0.38,0.339,0.041
Eaton, Adam,594809,2019,656,472,0.279,0.277,0.002,0.428,0.423,0.005,0.342,0.34,0.002
LeMahieu, DJ,518934,2019,655,517,0.327,0.322,0.005,0.518,0.529,-0.011,0.375,0.379,-0.004
Rosario, Amed,642708,2019,655,497,0.287,0.291,-0.004,0.432,0.423,0.009,0.318,0.32,-0.002
Pham, Tommy,502054,2019,654,445,0.273,0.277,-0.004,0.45,0.462,-0.012,0.349,0.357,-0.008
Lindor, Francisco,596019,2019,654,507,0.284,0.276,0.008,0.518,0.462,0.056,0.349,0.33,0.019
Fletcher, David,664058,2019,653,534,0.29,0.302,-0.012,0.384,0.38,0.004,0.318,0.323,-0.005
Andrus, Elvis,462101,2019,648,514,0.275,0.271,0.004,0.393,0.398,-0.005,0.3,0.307,-0.007
Conforto, Michael,624424,2019,648,405,0.257,0.262,-0.005,0.494,0.504,-0.01,0.358,0.367,-0.009
Rendon, Anthony,543685,2019,646,468,0.319,0.319,0,0.598,0.599,-0.001,0.413,0.418,-0.005
Pillar, Kevin,607680,2019,645,529,0.259,0.263,-0.004,0.432,0.407,0.025,0.298,0.295,0.003
Brantley, Michael,488726,2019,637,513,0.311,0.303,0.008,0.503,0.49,0.013,0.367,0.362,0.005
Bryant, Kris,592178,2019,634,400,0.282,0.246,0.036,0.521,0.46,0.061,0.38,0.347,0.033
Blackmon, Charlie,453568,2019,634,481,0.314,0.294,0.02,0.576,0.52,0.056,0.387,0.362,0.025
Gordon, Alex,460086,2019,633,463,0.266,0.261,0.005,0.396,0.43,-0.034,0.319,0.332,-0.013
Calhoun, Kole,594777,2019,632,392,0.232,0.247,-0.015,0.467,0.477,-0.01,0.33,0.34,-0.01
