last_name, first_name,fielder_2,year,n_called_pitches,runs_extra_strikes,strike_rate,strike_rate_11,strike_rate_12,strike_rate_13,strike_rate_14,strike_rate_16,strike_rate_17,strike_rate_18,strike_rate_19
,999999,2019,145839,0,48.4,20.4,46.8,21.5,65.4,66.5,33.2,49.5,25.8
Higashioka, Kyle,543309,2019,474,2,55.1,29.6,52.1,28.6,62.8,79.1,35.6,53.8,50.0
Murphy, John Ryan,571974,2019,492,2,55.1,15.2,50.0,0.0,70.6,75.3,39.6,63.4,31.7
Hedges, Austin,595978,2019,2680,20,54.1,23.0,50.0,25.0,64.5,68.3,43.6,61.1,39.6
Nunez, Dom,624513,2019,292,1,53.8,26.9,29.6,0.0,71.4,72.5,41.7,71.8,18.9
Plawecki, Kevin,608700,2019,1279,4,53.6,20.9,45.7,21.2,64.2,79.7,30.9,53.8,26.8
Stassi, Max,545358,2019,1209,6,53.3,20.0,41.9,20.7,64.9,77.6,31.0,59.0,36.9
Garcia, Aramis,605244,2019,293,0,53.2,31.8,51.4,36.4,71.2,68.4,45.7,48.2,30.4
Martin, Russell,431145,2019,1489,6,53.1,24.2,53.1,20.7,70.1,75.6,35.4,50.0,27.6
Flowers, Tyler,452095,2019,2254,13,52.8,22.1,53.6,11.7,64.5,67.4,35.7,62.1,35.9
Avila, Alex,488671,2019,1402,5,52.5,14.1,50.8,19.6,69.3,68.2,39.1,55.8,32.5
Kelly, Carson,608348,2019,2581,7,52.2,21.7,44.6,16.3,69.7,67.9,39.3,54.3,37.3
Pina, Manny,444489,2019,1179,5,52.2,20.0,52.3,17.6,62.0,72.9,48.2,56.4,31.1
Leon, Sandy,506702,2019,1579,1,51.9,31.0,62.7,24.1,67.5,67.5,24.7,45.1,17.1
Perez, Roberto,547379,2019,3031,12,51.7,16.2,47.8,22.7,65.3,71.2,42.5,55.8,32.1
Barnes, Austin,605131,2019,1560,1,51.5,15.1,34.9,14.9,60.8,69.5,36.0,63.2,45.8
Gale, Rocky,502570,2019,101,0,51.5,20.0,66.7,0.0,61.5,77.8,20.0,47.4,14.3
Knapp, Andrew,595284,2019,976,2,51.4,35.1,62.0,30.8,72.3,57.6,32.9,47.4,24.4
Posey, Buster,457763,2019,2675,10,51.3,28.4,46.2,15.9,73.8,67.5,35.8,50.2,24.0
Grandal, Yasmani,518735,2019,3703,13,51.1,19.3,51.5,30.9,58.4,72.4,32.1,56.2,31.4
Caratini, Victor,605170,2019,1350,2,51.0,29.5,42.2,23.2,62.2,74.5,41.3,53.4,28.6
