last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,era,xera,era_minus_xera_diff
Bauer, Trevor,545333,2019,911,557,.230,.227,.003,.429,.406,.023,.316,.311,.005,4.48,4.26,0.22
Lynn, Lance,458681,2019,875,562,.243,.232,.011,.390,.381,.009,.294,.288,.006,3.67,3.61,0.06
Gonzales, Marco,594835,2019,866,657,.264,.258,.006,.422,.414,.008,.311,.312,-.001,3.99,4.29,-0.30
Minor, Mike,501985,2019,863,588,.244,.233,.011,.395,.394,.001,.301,.299,.002,3.59,3.91,-0.32
Bieber, Shane,669456,2019,859,554,.230,.246,-.016,.393,.427,-.034,.280,.300,-.020,3.28,3.94,-0.66
Rodriguez, Eduardo,593958,2019,859,564,.253,.230,.023,.391,.380,.011,.307,.294,.013,3.81,3.78,0.03
Nola, Aaron,605400,2019,852,532,.233,.236,-.003,.393,.395,-.002,.304,.307,-.003,3.87,4.14,-0.27
Verlander, Justin,434378,2019,847,498,.172,.189,-.017,.361,.355,.006,.243,.249,-.006,2.58,2.68,-0.10
Bumgarner, Madison,518516,2019,844,587,.245,.255,-.010,.426,.456,-.030,.300,.316,-.016,3.90,4.41,-0.51
Berrios, Jose,621244,2019,842,587,.251,.246,.005,.404,.417,-.013,.300,.303,-.003,3.68,4.03,-0.35
Strasburg, Stephen,544931,2019,841,524,.210,.212,-.002,.349,.339,.010,.265,.266,-.001,3.32,3.06,0.26
Alcantara, Sandy,645261,2019,838,598,.241,.246,-.005,.397,.426,-.029,.308,.322,-.014,3.88,4.60,-0.72
Leake, Mike,502190,2019,835,671,.286,.299,-.013,.506,.520,-.014,.341,.354,-.013,4.29,5.70,-1.41
Corbin, Patrick,571578,2019,835,524,.227,.230,-.003,.375,.416,-.041,.285,.304,-.019,3.25,4.05,-0.80
Wheeler, Zack,554430,2019,828,580,.258,.250,.008,.391,.400,-.009,.294,.298,-.004,3.96,3.89,0.07
Syndergaard, Noah,592789,2019,824,567,.256,.234,.022,.410,.366,.044,.301,.280,.021,4.28,3.41,0.87
Cole, Gerrit,543037,2019,817,440,.186,.184,.002,.343,.317,.026,.246,.238,.008,2.50,2.45,0.05
Greinke, Zack,425844,2019,810,589,.228,.242,-.014,.364,.390,-.026,.263,.282,-.019,2.93,3.46,-0.53
Lopez, Reynaldo,625643,2019,809,567,.278,.260,.018,.491,.471,.020,.349,.337,.012,5.38,5.09,0.29
Nova, Ivan,467100,2019,806,635,.303,.294,.009,.483,.472,.011,.351,.347,.004,4.72,5.44,-0.72
deGrom, Jacob,594798,2019,804,498,.207,.209,-.002,.323,.327,-.004,.250,.253,-.003,2.43,2.77,-0.34
Morton, Charlie,450203,2019,790,481,.215,.220,-.005,.340,.340,.000,.270,.275,-.005,3.05,3.28,-0.23
Boyd, Matthew,571510,2019,788,491,.247,.227,.020,.465,.415,.050,.320,.297,.023,4.56,3.86,0.70
Castillo, Luis,622491,2019,780,469,.202,.208,-.006,.343,.330,.013,.277,.277,.000,3.40,3.33,0.07
Kelly, Merrill,518876,2019,777,558,.260,.275,-.015,.447,.497,-.050,.319,.344,-.025,4.42,5.33,-0.91
Stroman, Marcus,573186,2019,774,555,.257,.249,.008,.384,.375,.009,.300,.294,.006,3.22,3.78,-0.56
Flaherty, Jack,656427,2019,772,479,.192,.217,-.025,.335,.364,-.029,.254,.278,-.024,2.75,3.36,-0.61
Junis, Jakob,596001,2019,771,537,.276,.274,.002,.468,.482,-.014,.340,.345,-.005,5.24,5.37,-0.13
Porcello, Rick,519144,2019,768,573,.278,.265,.013,.483,.489,-.006,.338,.337,.001,5.52,5.09,0.43
Mikolas, Miles,571945,2019,764,576,.272,.279,-.007,.449,.453,-.004,.319,.328,-.009,4.16,4.79,-0.63
Lester, Jon,452657,2019,764,542,.294,.282,.012,.470,.462,.008,.344,.340,.004,4.46,5.19,-0.73
Tanaka, Masahiro,547888,2019,759,568,.261,.265,-.004,.450,.437,.013,.314,.316,-.002,4.45,4.41,0.04
